Warehouse Name,Group Courses Taken,Pass Rate
SPD Self Installation (Berkeley),26,0.828671329
SPD Self Installation (Chicago),3,0.911290323
SPD Self Installation (New Jersey),2,0.917391304
SPD Self Installation (New York),8,0.895833333
SPD Self Installation (North L.A.),10,0.936305732
SPD Self Installation (Ontario),89,0.964485981
SPD Self Installation (Orlando),23,0.8
SPD Self Installation (Phoenix),19,0.88671875
SPD Self Installation (Sacramento),11,0.939577039
SPD Self Installation (San Diego),85,0.896428571
SPD Self Installation (San Jose),28,0.723849372
